Product_Name,Product_Price,Off,Product_Rating,Solds,Local,Original_Price
Aspirador De Pó Vertical 2 Em 1 Bas1290v 1250w Britânia,"188,19",-1%,4.9,"1,5mil vendidos",Minas Gerais,190.0909090909091
1Set 4200Pa Aspirador De Pó Portátil Sem Fio Potente Ciclone De Sucção Recarregável 6053 Carga Para Pêlos De Animais Domésticos,"105,85",-40%,4.8,547 vendidos,Internacional,176.4166666666667
Mini Processador E Triturador E Moedor Mallory 130w Premium (220V),"187,68",-5%,4.9,71 vendidos,Ceará,197.5578947368421
Microondas Philco PMO30EP 28 Litros Preto Com Porta Espelhada 1400w,"799,90", ,4.8,239 vendidos,Espírito Santo,799.9
Aspirador de Pó Vertical e Portátil WAP HIGH SPEED BLACK 1300W 2 em 1 Filtro HEPA,"209,90", ,4.9,"1,3mil vendidos",Espírito Santo,209.9
"Liquidificador Britânia BLQ970V Turbo 900W 2,6L","99,90",-23%,4.8,"2,9mil vendidos",Santa Catarina,129.7402597402597
【Promoção】Pé Calcador De Fazer Overlock Em Zig Zag Com Corte,"38,90",-52%,4.8,429 vendidos,Internacional,81.04166666666667
Conversor Digital de TV Intelbras com Gravador CD 700,"123,40",-9%,4.8,66 vendidos,São Paulo,135.6043956043956
Refrigerador Brastemp Side Inverse 3 Portas Frost Free 554 Litros Inox 127V BRO85AK,"7.099,00",-30%, , ,Espírito Santo,10141.42857142857
Aspirador de Pó Britânia 2 em 1 Preto com Laranja BAS1010P Filtro Hepa 1000W,"209,90", ,4.9,"10,5mil vendidos",Espírito Santo,209.9
CFSTORE Home Fogão A Gás Capa À Prova De Vento Do Protetor Suporte De Reflexão De Fogo Tampa Da Cozinha D9E9,"37,99",-40%,4.6,409 vendidos,Internacional,63.31666666666667
Controle Remoto para Ventilador e Luminária de Teto - Capacitivo - Living5040,"129,91",-5%,4.6,24 vendidos,Minas Gerais,136.7473684210526
Aspirador de Pó Vertical 2 em 1 Karcher VCL 1 com Filtro Hepa 1000W,"179,00",-40%,4.9,"1,6mil vendidos",São Paulo,298.3333333333334
Fogão Cooktop de Philco Elétrico Volcano 4 bocas PCT44VC Preto 220v,"1.399,90", ,4.9,164 vendidos,Espírito Santo,1399.9
Forno Elétrico Philco PFE70I 70 Litros Inox,"989,90", ,4.8,191 vendidos,Espírito Santo,989.9
