Product_Name,Product_Price,Off,Product_Rating,Solds,Local,Original_Price
Mini Maquina De Donuts Café Da Manhã Capacidade Para 7 Mini Rosquinha Elétrica 110V Portátil,"119,99",-23%, , ,São Paulo,155.8311688311688
"Visor Digital De Porta Peephole Câmera Sino De 2,8 Polegadas Tela LCD Visão Noturna Tiro Fotográfico Monitoramento Para Segurança Doméstica [19] [Nova Chegada]","169,99",-60%,4.9,352 vendidos,Internacional,424.975
"Ventilador de Mesa 40cm 16"" c/ 5 Hélices, 3 Velocidades Oscilante","140,05",-22%, , ,São Paulo,179.5512820512821
3 em 1 Misturador Elétrico Recarregável Portátil Para Bebidas,"69,99",-55%,4.9,"1,2mil vendidos",Internacional,155.5333333333333
Projetor Datashow Tomate Mpr-2008 5000 Lumens 110v/220v Cor Preto,"2.000,00",-20%, , ,São Paulo,2500.0
Pé Calcador De Fazer Overlock Em Zig Zag Com Corte,"38,90",-55%,4.8,"1,9mil vendidos",Internacional,86.44444444444444
"Câmera De Vídeo Sem Fio Para Campainha Com Intercomunicador Casa Versão Noturna Infravermelha De Dois Caminhos Anel De Porta De 4,3 Polegadas Tela Necessidade De Aplicação","189,00",-55%,4.8,137 vendidos,Internacional,420.0000000000001
Grill Sanduicheira Grelhados Fit Inox Garantia Promoção Hoje,"197,91",-10%, , ,São Paulo,219.9
2023 Alexa Google Controle de Voz Doméstico TUYA Universal Mini Smart Home Infravermelho Wifi IR Controlador Remoto (book.br),"88,71", ,4.2,"1,9mil vendidos",Internacional,88.71
ESPREMEDOR DE FRUTAS EASY BLACK - 220V LENOXX,"108,81",-10%, , ,São Paulo,120.9
Woolley 16A Adaptador De Plugue Inteligente Padrão Brasil Wifi Tomada De Energia Monitor De Vida Útil APP Google Home Alexa,"32,80",-67%,4.8,"1,9mil vendidos",Internacional,99.39393939393939
lampada led com ventilador de teto casa sala quarto branco controle remoto silencioso 85v potente,"118,95",-5%, , ,Rio de Janeiro,125.2105263157895
1080P Vídeo WiFi Porta De Intercomunicador Sem Fio IR Visão Noturna 4.3inch Tela IPS De 2 Vias 2.4G Para Villa Home Office,"224,13",-45%,4.9,145 vendidos,Internacional,407.5090909090908
Kit 3 Sensor Presença Frontal Temporizador APP Smart X Control,"110,45",-5%, , ,São Paulo,116.2631578947368
2022 HOT 4 Em 1 Automático Recarregável Desinfecção UV Aspirador De Pó,"69,99",-47%,4.2,"1,6mil vendidos",Internacional,132.0566037735849
